lon,lat,timestamp,speed_kmh,label
12.042079,54.12313,2021-01-07 12:32:57,0.0,driving
12.042032,54.123093,2021-01-07 12:33:10,8.379939862138373,driving
12.041823,54.122764,2021-01-07 12:33:16,22.6585137019869,driving
12.041773,54.122438,2021-01-07 12:33:22,25.74321501974202,driving
12.041693,54.121997,2021-01-07 12:33:28,28.531234028125013,driving
12.042328,54.121823,2021-01-07 12:33:34,25.70164214381941,driving
12.042927,54.121897,2021-01-07 12:33:40,27.67282030722297,driving
12.042998,54.122365,2021-01-07 12:33:46,27.726278133728854,driving
12.04305,54.122724,2021-01-07 12:33:52,26.330433815165325,driving
12.04306,54.123152,2021-01-07 12:33:58,25.715479106844857,driving
12.043103,54.123493,2021-01-07 12:34:04,23.96671598188405,driving
12.042974,54.123861,2021-01-07 12:34:10,27.150179006499677,driving
12.043031,54.124297,2021-01-07 12:34:16,19.57523620855129,driving
12.043179,54.124418,2021-01-07 12:34:22,19.392615869421327,driving
12.043912,54.124374,2021-01-07 12:34:28,35.579990596913056,driving
12.044945,54.124187,2021-01-07 12:34:34,40.91994540066028,driving
12.045887,54.123974,2021-01-07 12:34:40,36.04704218487995,driving
12.046649,54.123778,2021-01-07 12:34:46,30.216692890553905,driving
12.047335,54.123667,2021-01-07 12:34:52,30.613956989061386,driving
12.048139,54.123833,2021-01-07 12:34:58,35.59755335246096,driving
12.049007,54.124082,2021-01-07 12:35:04,38.05478038803695,driving
12.049926,54.124278,2021-01-07 12:35:10,38.24824587501762,driving
12.050859,54.124446,2021-01-07 12:35:16,38.68417921055421,driving
12.051826,54.124596,2021-01-07 12:35:22,39.44367421958171,driving
12.052841,54.124605,2021-01-07 12:35:28,40.77998685124142,driving
12.053904,54.124542,2021-01-07 12:35:34,41.235521094445616,driving
12.054942,54.124555,2021-01-07 12:35:40,38.614986145518,driving
12.055859,54.124661,2021-01-07 12:35:46,39.12083014492776,driving
12.056904,54.124779,2021-01-07 12:35:52,32.22754713381519,driving
12.057482,54.124821,2021-01-07 12:35:58,2.146647026640912,driving
12.057492,54.124819,2021-01-07 12:36:57,0.3669316708163765,driving
12.057589,54.124851,2021-01-07 12:37:17,5.65983009020039,driving
12.058097,54.1249,2021-01-07 12:37:23,32.85702458900425,driving
12.057941,54.125576,2021-01-07 12:37:29,44.79204888835497,driving
12.057816,54.126231,2021-01-07 12:37:35,46.33344122478916,driving
12.057717,54.126957,2021-01-07 12:37:41,48.12676697436418,driving
12.057631,54.127668,2021-01-07 12:37:47,43.06523545874381,driving
12.057582,54.128244,2021-01-07 12:37:53,42.1825888378734,driving
12.057545,54.12893,2021-01-07 12:37:59,45.76631392976831,driving
12.057561,54.129614,2021-01-07 12:38:05,43.494974392524135,driving
12.057526,54.130232,2021-01-07 12:38:11,40.40417889478823,driving
12.057484,54.130823,2021-01-07 12:38:17,43.74128166807425,driving
12.057451,54.131541,2021-01-07 12:38:23,40.69694422397055,driving
12.057421,54.132041,2021-01-07 12:38:29,6.575853098380164,driving
12.057416,54.132082,2021-01-07 12:38:56,6.783800775269747,driving
12.057378,54.132599,2021-01-07 12:39:02,41.33229069973442,driving
12.057352,54.133319,2021-01-07 12:39:08,47.92964274876184,driving
12.057345,54.134034,2021-01-07 12:39:14,45.33010913921131,driving
12.05731,54.134676,2021-01-07 12:39:20,33.80891001431299,driving
12.057301,54.135046,2021-01-07 12:39:26,15.130797728201662,driving
12.057299,54.135129,2021-01-07 12:39:32,1.8223915045951935,driving
12.057301,54.135196,2021-01-07 12:39:59,5.793484267168332,driving
12.057294,54.135606,2021-01-07 12:40:05,32.19531237463627,driving
12.057287,54.13616,2021-01-07 12:40:11,39.94212196976802,driving
12.057287,54.136802,2021-01-07 12:40:17,42.64909787399231,driving
12.057303,54.137437,2021-01-07 12:40:23,37.507076197336495,driving
12.057308,54.137925,2021-01-07 12:40:29,9.218966822271732,driving
12.057303,54.137989,2021-01-07 12:40:47,9.894547184583836,driving
12.05819,54.138085,2021-01-07 12:40:53,49.80290532401544,driving
12.059833,54.138066,2021-01-07 12:40:59,66.25486662356542,driving
12.061575,54.138035,2021-01-07 12:41:05,66.42846305135022,driving
12.063223,54.137966,2021-01-07 12:41:11,64.20104673697051,driving
12.064847,54.13789,2021-01-07 12:41:17,61.4555786134829,driving
12.066353,54.137813,2021-01-07 12:41:23,60.32634771430872,driving
12.06792,54.13788,2021-01-07 12:41:29,63.62412326039789,driving
12.069516,54.138188,2021-01-07 12:41:35,65.1281077945832,driving
12.071128,54.138389,2021-01-07 12:41:41,63.10961371771784,driving
12.072703,54.138338,2021-01-07 12:41:47,61.03251997145764,driving
12.074172,54.138063,2021-01-07 12:41:53,62.06421286282957,driving
12.075617,54.137621,2021-01-07 12:41:59,58.86885063460012,driving
12.076804,54.13721,2021-01-07 12:42:05,56.71815590966647,driving
12.077847,54.136563,2021-01-07 12:42:11,42.522653268393725,driving
12.078386,54.136347,2021-01-07 12:42:17,8.293592293878252,driving
12.078488,54.136306,2021-01-07 12:42:33,10.320878391814096,driving
12.078321,54.135822,2021-01-07 12:42:39,42.02259495504771,driving
12.077966,54.135087,2021-01-07 12:42:45,50.37912366134832,driving
12.077608,54.134373,2021-01-07 12:42:51,37.78756452735091,driving
12.077112,54.134117,2021-01-07 12:42:57,29.56048133550225,driving
12.076273,54.134196,2021-01-07 12:43:03,34.75254575351972,driving
12.075352,54.134254,2021-01-07 12:43:09,36.508656177340114,driving
12.074421,54.134328,2021-01-07 12:43:15,35.38896164757005,driving
